101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,122,119,120,121
101,1,160101,200101,1,1,1,1|2|3|4,82.5,12,5,11,6,10101,10102,10103,,,,32101,icon/hero/101,spine/101
102,1,160102,200102,1,1,1,1|2|3|4,90,9,5,12,10,10201,10202,10203,,,,32102,icon/hero/102,spine/102
103,1,160103,200103,5,1,2,1|2|3|4,60,8,12,5,8,10301,10302,10303,,,,32103,icon/hero/103,spine/103
104,1,160104,200104,3,1,2,1|2|3|4,75,6,13,6,8,10401,10402,10403,,,,32104,icon/hero/104,spine/104
105,1,160105,200105,2,1,2,1|2|3|4,60,8,13,6,7,10501,10502,10503,,,,32105,icon/hero/105,spine/105
201,1,160201,200201,1,2,1,1|2|3|4,90,11,5,12,8,20101,20102,20103,,,,32201,icon/hero/201,spine/201
202,1,160202,200202,1,2,1,1|2|3|4,82.5,11,8,8,8,20201,20202,20203,,,,32202,icon/hero/202,spine/202
203,1,160203,200203,5,2,1,1|2|3|4,75,10,10,10,10,20301,20302,20303,,,,32203,icon/hero/203,spine/203
204,1,160204,200204,4,2,1,1|2|3|4,90,11,8,10,10,20401,20402,20403,,,,32204,icon/hero/204,spine/204
205,1,160205,200205,4,2,2,1|2|3|4,60,8,14,6,12,20501,20502,20503,,,,32205,icon/hero/205,spine/205
301,1,160301,200301,1,3,1,1|2|3|4,97.5,14,6,10,6,30101,30102,30103,,,,32301,icon/hero/301,spine/301
302,1,160302,200302,5,3,2,1|2|3|4,82.5,10,13,6,8,30201,30202,30203,,,,32302,icon/hero/302,spine/302
303,1,160303,200303,3,3,1,1|2|3|4,105,13,16,10,14,30301,30302,30303,,,,32303,icon/hero/303,spine/303
304,1,160304,200304,2,3,1,1|2|3|4,105,10,16,10,15,30401,30402,30403,,,,32304,icon/hero/304,spine/304
305,1,160305,200305,4,3,1,1|2|3|4,120,16,12,12,12,30501,30502,30503,,,,32305,icon/hero/305,spine/305
306,1,160306,200306,2,3,1,1|2|3|4,105,15,6,12,8,30601,30602,30603,,,,32306,icon/hero/306,spine/306
901,100,160901,200901,1,1,1,1|2|3|4,90,14,6,10,10,,,,,,1,32901,icon/hero/901,spine/901
902,100,160902,200902,2,1,1,1|2|3|4,60,10,14,8,8,,,,,,2,32901,icon/hero/902,spine/902
903,100,160903,200903,3,1,2,1|2|3|4,75,10,10,10,10,,,,,,3,32901,icon/hero/903,spine/903
904,100,160904,200904,4,1,2,1|2|3|4,75,10,10,10,10,,,,,,4,32901,icon/hero/904,spine/904
905,100,160905,200905,5,1,1,1|2|3|4,105,10,6,14,14,,,,,,5,32901,icon/hero/905,spine/905
10101,2,170101,210101,1,1,1,1|2|3|4,60,8,2,8.4,4.2,,,,,,,,icon/hero/10101,spine/101
