101,102,103,104,105,106,107,108,109,110
101,30101,40101,3,1,,10101,,,1
201,30201,40201,2,5000,,10102,,202,2
202,30202,40202,2,7000,,10103,201,203,2
203,30203,40203,2,10000,,10104,202,204,2
204,30204,40204,2,20000,,10105,203,205,2
205,30205,40205,2,30000,,10106,204,206,2
206,30206,40206,2,40000,,10107,205,207,2
207,30207,40207,2,50000,,10108,206,208,2
208,30208,40208,2,70000,,10109,207,209,2
209,30209,40209,2,100000,,10110,208,210,2
210,30210,40210,2,200000,,10111,209,211,2
211,30211,40211,2,500000,,10112,210,212,2
212,30212,40212,2,700000,,10113,211,213,2
213,30213,40213,2,1000000,,10114,212,214,2
214,30214,40214,2,2000000,,10115,213,215,2
215,30215,40215,2,5000000,,10116,214,,2
301,30301,40301,5,1,,10117,,302,4
302,30302,40302,5,2,,10118,301,303,4
303,30303,40303,5,3,,10119,302,304,4
304,30304,40304,5,4,,10120,303,305,4
305,30305,40305,5,5,,10121,304,306,4
306,30306,40306,5,6,,10122,305,307,4
307,30307,40307,5,7,,10123,306,308,4
308,30308,40308,5,8,,10124,307,309,4
309,30309,40309,5,9,,10125,308,310,4
310,30310,40310,5,10,,10126,309,311,4
311,30311,40311,5,11,,10127,310,312,4
312,30312,40312,5,12,,10128,311,313,4
313,30313,40313,5,13,,10129,312,314,4
314,30314,40314,5,14,,10130,313,315,4
315,30315,40315,5,15,,10131,314,316,4
316,30316,40316,5,30,,10132,315,,4
401,30401,40401,1,5,,10133,,402,6
402,30402,40402,1,10,,10134,401,403,6
403,30403,40403,1,15,,10135,402,404,6
404,30404,40404,1,20,,10136,403,405,6
405,30405,40405,1,25,,10137,404,406,6
406,30406,40406,1,30,,10138,405,407,6
407,30407,40407,1,35,,10139,406,408,6
408,30408,40408,1,40,,10140,407,409,6
409,30409,40409,1,45,,10141,408,410,6
410,30410,40410,1,50,,10142,409,411,6
411,30411,40411,1,55,,10143,410,412,6
412,30412,40412,1,60,,10144,411,413,6
413,30413,40413,1,65,,10145,412,414,6
414,30414,40414,1,70,,10146,413,415,6
415,30415,40415,1,75,,10147,414,416,6
416,30416,40416,1,80,,10148,415,417,6
417,30417,40417,1,85,,10149,416,418,6
418,30418,40418,1,90,,10150,417,419,6
419,30419,40419,1,95,,10151,418,420,6
420,30420,40420,1,100,,10152,419,,6
501,30501,40501,4,101,,10153,,502,7
502,30502,40502,4,102,,10154,501,503,7
503,30503,40503,4,103,,10155,502,504,7
504,30504,40504,4,104,,10156,503,505,7
505,30505,40505,4,105,,10157,504,506,7
506,30506,40506,4,106,,10158,505,507,7
507,30507,40507,4,107,,10159,506,508,7
508,30508,40508,4,108,,10160,507,509,7
509,30509,40509,4,109,,10161,508,510,7
510,30510,40510,4,110,,10162,509,511,7
511,30511,40511,4,201,,10163,510,512,7
512,30512,40512,4,202,,10164,511,513,7
513,30513,40513,4,203,,10165,512,514,7
514,30514,40514,4,204,,10166,513,515,7
515,30515,40515,4,205,,10167,514,516,7
516,30516,40516,4,206,,10168,515,517,7
517,30517,40517,4,207,,10169,516,518,7
518,30518,40518,4,208,,10170,517,519,7
519,30519,40519,4,209,,10171,518,520,7
520,30520,40520,4,210,,10172,519,521,7
521,30521,40521,4,301,,10173,520,522,7
522,30522,40522,4,302,,10174,521,523,7
523,30523,40523,4,303,,10175,522,524,7
524,30524,40524,4,304,,10176,523,525,7
525,30525,40525,4,305,,10177,524,526,7
526,30526,40526,4,306,,10178,525,527,7
527,30527,40527,4,307,,10179,526,528,7
528,30528,40528,4,308,,10180,527,529,7
529,30529,40529,4,309,,10181,528,530,7
530,30530,40530,4,310,,10182,529,531,7
531,30531,40531,4,401,,10183,530,532,7
532,30532,40532,4,402,,10184,531,533,7
533,30533,40533,4,403,,10185,532,534,7
534,30534,40534,4,404,,10186,533,535,7
535,30535,40535,4,405,,10187,534,536,7
536,30536,40536,4,406,,10188,535,537,7
537,30537,40537,4,407,,10189,536,538,7
538,30538,40538,4,408,,10190,537,539,7
539,30539,40539,4,409,,10191,538,540,7
540,30540,40540,4,410,,10192,539,541,7
541,30541,40541,4,501,,10193,540,542,7
542,30542,40542,4,502,,10194,541,543,7
543,30543,40543,4,503,,10195,542,544,7
544,30544,40544,4,504,,10196,543,545,7
545,30545,40545,4,505,,10197,544,546,7
546,30546,40546,4,506,,10198,545,547,7
547,30547,40547,4,507,,10199,546,548,7
548,30548,40548,4,508,,10200,547,549,7
549,30549,40549,4,509,,10201,548,550,7
550,30550,40550,4,510,,10202,549,551,7
551,30551,40551,4,601,,10203,550,552,7
552,30552,40552,4,602,,10204,551,553,7
553,30553,40553,4,603,,10205,552,554,7
554,30554,40554,4,604,,10206,553,555,7
555,30555,40555,4,605,,10207,554,556,7
556,30556,40556,4,606,,10208,555,557,7
557,30557,40557,4,607,,10209,556,558,7
558,30558,40558,4,608,,10210,557,559,7
559,30559,40559,4,609,,10211,558,560,7
