101,102,103,104,105,106
1001,1,701,1,91001,0
1002,1,701,1,91002,25
1003,1,701,1,91003,45
1101,2,701,0,91101,0
1102,2,701,0,91102,0
1103,2,701,0,91103,0
1201,3,701,3,91201,10
1202,3,701,3,91202,20
1203,3,701,3,91203,30
1301,4,701,3,91301,40
1302,4,701,3,91302,50
1303,4,701,3,91303,60
1401,5,701,2,91401,10
1402,5,701,2,91402,30
1403,5,701,2,91403,50
2001,1,702,1,92001,0
2002,1,702,1,92002,25
2003,1,702,1,92003,45
2101,2,702,0,92101,0
2102,2,702,0,92102,0
2103,2,702,0,92103,0
2201,3,702,3,92201,10
2202,3,702,3,92202,20
2203,3,702,3,92203,30
2301,4,702,3,92301,40
2302,4,702,3,92302,50
2303,4,702,3,92303,60
2401,5,702,2,92401,10
2402,5,702,2,92402,30
2403,5,702,2,92403,50
3001,1,703,1,93001,0
3002,1,703,1,93002,25
3003,1,703,1,93003,45
3101,2,703,0,93101,0
3102,2,703,0,93102,0
3103,2,703,0,93103,0
3201,3,703,3,93201,10
3202,3,703,3,93202,20
3203,3,703,3,93203,30
3301,4,703,3,93301,40
3302,4,703,3,93302,50
3303,4,703,3,93303,60
3401,5,703,2,93401,10
3402,5,703,2,93402,30
3403,5,703,2,93403,50
4001,1,704,1,94001,0
4002,1,704,1,94002,25
4003,1,704,1,94003,45
4101,2,704,0,94101,0
4102,2,704,0,94102,0
4103,2,704,0,94103,0
4201,3,704,3,94201,10
4202,3,704,3,94202,20
4203,3,704,3,94203,30
4301,4,704,3,94301,40
4302,4,704,3,94302,50
4303,4,704,3,94303,60
4401,5,704,2,94401,10
4402,5,704,2,94402,30
4403,5,704,2,94403,50
5001,1,705,1,95001,0
5002,1,705,1,95002,25
5003,1,705,1,95003,45
5101,2,705,0,95101,0
5102,2,705,0,95102,0
5103,2,705,0,95103,0
5201,3,705,3,95201,10
5202,3,705,3,95202,20
5203,3,705,3,95203,30
5301,4,705,3,95301,40
5302,4,705,3,95302,50
5303,4,705,3,95303,60
5401,5,705,2,95401,10
5402,5,705,2,95402,30
5403,5,705,2,95403,50
