101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118
101,1,1,1,3000,4000,9000,4000,3000,2000,800,200,0,0,0,0,0,2
102,2,1,2,4000,5000,800,4000,3000,2000,800,200,9900,100,0,0,0,4
103,3,1,3,5000,6000,197,4000,3000,2000,800,200,9000,1000,0,0,0,4
104,4,1,4,7000,8000,2,4000,3000,2000,800,200,8000,1000,1000,0,0,12
105,5,1,5,9000,10000,1,4000,3000,2000,800,200,7000,2000,1000,0,0,16
201,1,2,1,3000,4000,2000,4000,3000,2000,800,200,0,0,0,0,0,2
202,2,2,2,4000,5000,4000,4000,3000,2000,800,200,9900,100,0,0,0,4
203,3,2,3,5000,6000,3500,4000,3000,2000,800,200,9000,1000,0,0,0,8
204,4,2,4,7000,8000,300,4000,3000,2000,800,200,8000,1000,1000,0,0,12
205,5,2,5,9000,10000,200,4000,3000,2000,800,200,7000,2000,1000,0,0,16
