101,102,103,104,105
1001,1,1,90101,1
1002,1,1,90102,1
1003,1,1,90103,7
1101,1,2,90104,15
1102,1,2,90105,55
1103,1,2,90106,25
1201,1,3,90107,35
1202,1,3,90108,7
1203,1,3,90109,15
1301,1,4,90110,55
1302,1,4,90111,45
1303,1,4,90112,50
1401,1,5,90113,7
1402,1,5,90114,15
1403,1,5,90115,55
2001,2,1,90201,1
2002,2,1,90202,1
2003,2,1,90203,7
2101,2,2,90204,15
2102,2,2,90205,55
2103,2,2,90206,25
2201,2,3,90207,35
2202,2,3,90208,7
2203,2,3,90209,15
2301,2,4,90210,55
2302,2,4,90211,45
2303,2,4,90212,50
2401,2,5,90213,7
2402,2,5,90214,15
2403,2,5,90215,55
3001,3,1,90301,1
3002,3,1,90302,1
3003,3,1,90303,7
3101,3,2,90304,15
3102,3,2,90305,55
3103,3,2,90306,25
3201,3,3,90307,35
3202,3,3,90308,7
3203,3,3,90309,15
3301,3,4,90310,55
3302,3,4,90311,45
3303,3,4,90312,50
3401,3,5,90313,7
3402,3,5,90314,15
3403,3,5,90315,55
4001,4,1,90401,1
4002,4,1,90402,1
4003,4,1,90403,7
4101,4,2,90404,15
4102,4,2,90405,55
4103,4,2,90406,25
4201,4,3,90407,35
4202,4,3,90408,7
4203,4,3,90409,15
4301,4,4,90410,55
4302,4,4,90411,45
4303,4,4,90412,50
4401,4,5,90413,7
4402,4,5,90414,15
4403,4,5,90415,55
5001,5,1,90501,1
5002,5,1,90502,1
5003,5,1,90503,7
5101,5,2,90504,15
5102,5,2,90505,55
5103,5,2,90506,25
5201,5,3,90507,35
5202,5,3,90508,7
5203,5,3,90509,15
5301,5,4,90510,55
5302,5,4,90511,45
5303,5,4,90512,50
5401,5,5,90513,7
5402,5,5,90514,15
5403,5,5,90515,55
