101,102
1,60
2,61
3,68
4,87
5,124
6,185
7,276
8,403
9,572
10,789
11,1060
12,1391
13,1788
14,2257
15,2804
16,3435
17,4156
18,4973
19,5892
20,6919
21,8060
22,9321
23,10708
24,12227
25,13884
26,15685
27,17636
28,19743
29,22012
30,24449
31,27060
32,29851
33,32828
34,35997
35,39364
36,42935
37,46716
38,50713
39,54932
40,59379
41,64060
42,68981
43,74148
44,79567
45,85244
46,91185
47,97396
48,103883
49,110652
50,117709
51,125060
52,132711
53,140668
54,148937
55,157524
56,166435
57,175676
58,185253
59,195172
60,205439
61,216060
62,227041
63,238388
64,250107
65,262204
66,274685
67,287556
68,300823
69,314492
70,328569
71,343060
72,357971
73,373308
74,389077
75,405284
76,421935
77,439036
78,456593
79,474612
80,493099
81,512060
82,531501
83,551428
84,571847
85,592764
86,614185
87,636116
88,658563
89,681532
90,705029
91,729060
92,753631
93,778748
94,804417
95,830644
96,857435
97,884796
98,912733
99,941252
100,970359
