101,102
1,101
2,108
3,127
4,164
5,225
6,316
7,443
8,612
9,829
10,1100
11,1431
12,1828
13,2297
14,2844
15,3475
16,4196
17,5013
18,5932
19,6959
20,8100
21,9361
22,10748
23,12267
24,13924
25,15725
26,17676
27,19783
28,22052
29,24489
30,27100
31,29891
32,32868
33,36037
34,39404
35,42975
36,46756
37,50753
38,54972
39,59419
40,64100
41,69021
42,74188
43,79607
44,85284
45,91225
46,97436
47,103923
48,110692
49,117749
50,125100
51,132751
52,140708
53,148977
54,157564
55,166475
56,175716
57,185293
58,195212
59,205479
60,216100
61,227081
62,238428
63,250147
64,262244
65,274725
66,287596
67,300863
68,314532
69,328609
70,343100
71,358011
72,373348
73,389117
74,405324
75,421975
76,439076
77,456633
78,474652
79,493139
80,512100
81,531541
82,551468
83,571887
84,592804
85,614225
86,636156
87,658603
88,681572
89,705069
90,729100
91,753671
92,778788
93,804457
94,830684
95,857475
96,884836
97,912773
98,941292
99,970399
100,1000100
