101,102,103,104,105,106,107,108,109,110,111,112
101,1,,250,1,102,4,1,10000,0,0,
102,1,,500,2,103,4,1,10000,0,0,
103,1,,750,3,104,4,1,10000,0,0,
104,1,,1000,4,105,4,1,10000,0,0,
105,1,,1250,5,106,4,1,10000,0,0,
106,1,,1500,6,107,4,1,10000,0,0,
107,1,,1750,7,108,4,1,10000,0,0,
108,1,,2000,8,109,4,1,10000,0,0,
109,1,,2250,9,110,4,1,10000,0,0,
110,1,,2500,10,,4,1,10000,0,0,
201,2,,33,1,202,4,1,10000,0,0,
202,2,,66,2,203,4,1,10000,0,0,
203,2,,100,3,204,4,1,10000,0,0,
204,2,,133,4,205,4,1,10000,0,0,
205,2,,166,5,206,4,1,10000,0,0,
206,2,,200,6,207,4,1,10000,0,0,
207,2,,233,7,208,4,1,10000,0,0,
208,2,,266,8,209,4,1,10000,0,0,
209,2,,300,9,210,4,1,10000,0,0,
210,2,,333,10,,4,1,10000,0,0,
301,3,,33,1,302,4,1,10000,0,0,
302,3,,66,2,303,4,1,10000,0,0,
303,3,,100,3,304,4,1,10000,0,0,
304,3,,133,4,305,4,1,10000,0,0,
305,3,,166,5,306,4,1,10000,0,0,
306,3,,200,6,307,4,1,10000,0,0,
307,3,,233,7,308,4,1,10000,0,0,
308,3,,266,8,309,4,1,10000,0,0,
309,3,,300,9,310,4,1,10000,0,0,
310,3,,333,10,,4,1,10000,0,0,
401,4,,33,1,402,4,1,10000,0,0,
402,4,,66,2,403,4,1,10000,0,0,
403,4,,100,3,404,4,1,10000,0,0,
404,4,,133,4,405,4,1,10000,0,0,
405,4,,166,5,406,4,1,10000,0,0,
406,4,,200,6,407,4,1,10000,0,0,
407,4,,233,7,408,4,1,10000,0,0,
408,4,,266,8,409,4,1,10000,0,0,
409,4,,300,9,410,4,1,10000,0,0,
410,4,,333,10,,4,1,10000,0,0,
501,5,,33,1,502,4,1,10000,0,0,
502,5,,66,2,503,4,1,10000,0,0,
503,5,,100,3,504,4,1,10000,0,0,
504,5,,133,4,505,4,1,10000,0,0,
505,5,,166,5,506,4,1,10000,0,0,
506,5,,200,6,507,4,1,10000,0,0,
507,5,,233,7,508,4,1,10000,0,0,
508,5,,266,8,509,4,1,10000,0,0,
509,5,,300,9,510,4,1,10000,0,0,
510,5,,333,10,,4,1,10000,0,0,
601,6,,100,1,602,4,1,10000,0,0,
602,6,,200,2,603,4,1,10000,0,0,
603,6,,300,3,604,4,1,10000,0,0,
604,6,,400,4,605,4,1,10000,0,0,
605,6,,500,5,606,4,1,10000,0,0,
606,6,,600,6,607,4,1,10000,0,0,
607,6,,700,7,608,4,1,10000,0,0,
608,6,,800,8,609,4,1,10000,0,0,
609,6,,900,9,610,4,1,10000,0,0,
610,6,,1000,10,,4,1,10000,0,0,
