101,102,103,104,105,106,107,108,109,110,111,112
101,10,20,1,2,11101,11104,1,2,0,100,50
102,10,20,1,2,11101,11104,1,2,0,100,50
103,10,20,1,3,11101,11104,1,2,0,100,50
104,21,28,1,3,11105,11110,1,3,0,100,50
105,21,28,1,3,11105,11110,1,3,200,500,50
106,21,28,2,3,11105,11110,1,3,200,500,50
107,29,35,2,3,11201,11205,2,3,200,500,50
108,29,35,2,4,11201,11205,2,3,800,1200,50
109,29,35,2,4,11201,11205,2,3,800,1200,50
110,36,40,3,4,11206,11210,3,3,800,1200,50
111,36,40,3,5,11206,11210,3,3,1500,3000,50
112,36,40,3,5,11206,11210,3,3,1500,3000,50
