101,102
1,720
2,830
3,1360
4,2800
5,5770
6,10960
7,19150
8,31240
9,48200
10,71130
11,101200
12,139670
13,187920
14,247400
15,319690
16,406440
17,509390
18,630400
19,771400
20,934450
21,1121680
22,1335310
23,1577680
24,1851200
25,2158410
26,2501920
27,2884430
28,3308760
29,3777800
30,4294570
31,4862160
32,5483750
33,6162640
34,6902200
35,7705930
36,8577400
37,9520270
38,10538320
39,11635400
40,12815490
41,14082640
42,15440990
43,16894800
44,18448400
45,20106250
46,21872880
47,23752910
48,25751080
49,27872200
50,30121210
51,32503120
52,35023030
53,37686160
54,40497800
55,43463370
56,46588360
57,49878350
58,53339040
59,56976200
60,60795730
61,64803600
62,69005870
63,73408720
64,78018400
65,82841290
66,87883840
67,93152590
68,98654200
69,104395400
70,110383050
71,116624080
72,123125510
73,129894480
74,136938200
75,144264010
76,151879320
77,159791630
78,168008560
79,176537800
80,185387170
81,194564560
82,204077950
83,213935440
84,224145200
85,234715530
86,245654800
87,256971470
88,268674120
89,280771400
90,293272090
91,306185040
92,319519190
93,333283600
94,347487400
95,362139850
96,377250280
97,392828110
98,408882880
99,425424200
100,442461810
