101,102,103,104,105,106,107,108,109,110,111,112,113,114
101,150101,1,1,1000,,1,,,999,32544,50,,
102,150102,2,1,5000,,1,,,999,32544,50,,
103,150103,3,1,10000,,1,,,999,32544,50,,
104,150104,4,1,50000,,1,,,999,32544,50,,
105,150105,5,1,100000,,1,,,999,32544,50,,
201,150201,6,2,10,50,1,,,999,32544,50,,
202,150202,7,2,10,60,1,,,999,32544,50,,
203,150203,8,2,10,70,1,,,999,32544,50,,
204,150204,9,2,10,80,1,,,999,32544,50,,
205,150205,10,2,10,90,1,,,999,32544,50,,
206,150206,11,2,10,100,1,,,999,32544,50,,
