101,102,103,104,105,106,107,108,109,110,111,112,113,114,115
101,1,2,30001,10,30002,10000,30502,5,30102,2,30202,2,,
102,1,5,30001,20,30002,20000,30009,1,30302,1,30402,1,,
103,1,7,30001,30,30002,30000,30009,1,31102,1,,,,
104,1,15,30001,40,30002,40000,31103,1,30007,5,,,,
105,1,26,30001,50,30002,50000,30006,5,,5,,,,
106,1,-1,30001,100,30002,100000,30009,1,31103,1,,2,30006,2
201,2,2,30001,10,30002,10000,30502,5,30102,2,30202,2,,
202,2,5,30001,20,30002,20000,30009,1,30302,1,30402,1,,
203,2,7,30001,30,30002,30000,30009,1,31102,1,,,,
204,2,15,30001,40,30002,40000,31103,1,30007,5,,,,
205,2,26,30001,50,30002,50000,30006,5,,5,,,,
206,2,-1,30001,100,30002,100000,30009,1,31103,1,,2,30006,2
301,3,2,30001,10,30002,10000,30502,5,30102,2,30202,2,,
302,3,5,30001,20,30002,20000,30009,1,30302,1,30402,1,,
303,3,7,30001,30,30002,30000,30009,1,31102,1,,,,
304,3,15,30001,40,30002,40000,31103,1,30007,5,,,,
305,3,26,30001,50,30002,50000,30006,5,,5,,,,
306,3,-1,30001,100,30002,100000,30009,1,31103,1,,2,30006,2
401,4,2,30001,10,30002,10000,30502,5,30102,2,30202,2,,
402,4,5,30001,20,30002,20000,30009,1,30302,1,30402,1,,
403,4,7,30001,30,30002,30000,30009,1,31102,1,,,,
404,4,15,30001,40,30002,40000,31103,1,30007,5,,,,
405,4,26,30001,50,30002,50000,30006,5,,5,,,,
406,4,-1,30001,100,30002,100000,30009,1,31103,1,,2,30006,2
501,5,2,30001,10,30002,10000,30502,5,30102,2,30202,2,,
502,5,5,30001,20,30002,20000,30009,1,30302,1,30402,1,,
503,5,7,30001,30,30002,30000,30009,1,31102,1,,,,
504,5,15,30001,40,30002,40000,31103,1,30007,5,,,,
505,5,26,30001,50,30002,50000,30006,5,,5,,,,
506,5,-1,30001,100,30002,100000,30009,1,31103,1,#N/A,2,30006,2
601,6,2,30001,10,30002,10000,30502,5,30102,2,30202,2,,
602,6,5,30001,20,30002,20000,30009,1,30302,1,30402,1,,
603,6,7,30001,30,30002,30000,30009,1,31102,1,,,,
604,6,15,30001,40,30002,40000,31103,1,30007,5,,,,
605,6,26,30001,50,30002,50000,30006,5,,5,,,,
606,6,-1,30001,100,30002,100000,30009,1,31103,1,,2,30006,2
701,7,2,30001,10,30002,10000,30502,5,30102,2,30202,2,,
702,7,5,30001,20,30002,20000,30009,1,30302,1,30402,1,,
703,7,7,30001,30,30002,30000,30009,1,31102,1,,,,
704,7,15,30001,40,30002,40000,31103,1,30007,5,,,,
705,7,26,30001,50,30002,50000,30006,5,,5,,,,
706,7,-1,30001,100,30002,100000,30009,1,31103,1,,2,30006,2
801,8,2,30001,10,30002,10000,30502,5,30102,2,30202,2,,
802,8,5,30001,20,30002,20000,30009,1,30302,1,30402,1,,
803,8,7,30001,30,30002,30000,30009,1,31102,1,,,,
804,8,15,30001,40,30002,40000,31103,1,30007,5,,,,
805,8,26,30001,50,30002,50000,30006,5,,5,,,,
806,8,-1,30001,100,30002,100000,30009,1,31103,1,,2,30006,2
901,9,2,30001,10,30002,10000,30502,5,30102,2,30202,2,,
902,9,5,30001,20,30002,20000,30009,1,30302,1,30402,1,,
903,9,7,30001,30,30002,30000,30009,1,31102,1,,,,
904,9,15,30001,40,30002,40000,31103,1,30007,5,,,,
905,9,26,30001,50,30002,50000,30006,5,,5,,,,
906,9,-1,30001,100,30002,100000,30009,1,31103,1,,2,30006,2
1001,10,2,30001,10,30002,10000,30502,5,30102,2,30202,2,,
1002,10,5,30001,20,30002,20000,30009,1,30302,1,30402,1,,
1003,10,7,30001,30,30002,30000,30009,1,31102,1,,,,
1004,10,15,30001,40,30002,40000,31103,1,30007,5,,,,
1005,10,26,30001,50,30002,50000,30006,5,,5,,,,
1006,10,-1,30001,100,30002,100000,30009,1,31103,1,#N/A,2,30006,2
1101,11,2,30001,10,30002,10000,30502,5,30102,2,30202,2,,
1102,11,5,30001,20,30002,20000,30009,1,30302,1,30402,1,,
1103,11,7,30001,30,30002,30000,30009,1,31102,1,,,,
1104,11,15,30001,40,30002,40000,31103,1,30007,5,,,,
1105,11,26,30001,50,30002,50000,30006,5,,5,,,,
1106,11,-1,30001,100,30002,100000,30009,1,31103,1,,2,30006,2
1201,12,2,30001,10,30002,10000,30502,5,30102,2,30202,2,,
1202,12,5,30001,20,30002,20000,30009,1,30302,1,30402,1,,
1203,12,7,30001,30,30002,30000,30009,1,31102,1,,,,
1204,12,15,30001,40,30002,40000,31103,1,30007,5,,,,
1205,12,26,30001,50,30002,50000,30006,5,,5,,,,
1206,12,-1,30001,100,30002,100000,30009,1,31103,1,,2,30006,2
