101,103,104,107,108,112,111
1,1,1,10,10,10,10
2,2,2,10,10,10,10
3,3,3,10,10,10,10
4,4,4,10,10,10,10
5,5,5,10,10,10,10
6,6,6,10,10,10,10
7,7,7,10,10,10,10
8,8,8,10,10,10,10
9,9,9,10,10,10,10
10,10,10,10,10,10,10
11,11,11,10,10,10,10
12,12,12,10,10,10,10
13,13,13,10,10,10,10
14,14,14,10,10,10,10
15,15,15,10,10,10,10
16,16,16,10,10,10,10
17,17,17,10,10,10,10
18,18,18,10,10,10,10
19,19,19,10,10,10,10
20,20,20,10,10,10,10
21,21,21,10,10,10,10
22,22,22,10,10,10,10
23,23,23,10,10,10,10
24,24,24,10,10,10,10
25,25,25,10,10,10,10
26,26,26,10,10,10,10
27,27,27,10,10,10,10
28,28,28,10,10,10,10
29,29,29,10,10,10,10
30,30,30,10,10,10,10
31,31,31,10,10,10,10
32,32,32,10,10,10,10
33,33,33,10,10,10,10
34,34,34,10,10,10,10
35,35,35,10,10,10,10
36,36,36,10,10,10,10
37,37,37,10,10,10,10
38,38,38,10,10,10,10
39,39,39,10,10,10,10
40,40,40,10,10,10,10
